hoja,altura_hoja,longitud_hoja,Edad,cobertura_dosel,luz,celulas_epidermicas,largo_estoma,ancho_estoma,densidad_estomatica,indice_estomatico,no_estomas,pl_estomas,pa_estomas,radio_estoma,area_estoma,area_estoma_m
p1_hj1,63,40,0,90,23.6,61,0.027,0.022,55.55555556,6.153846154,4,0.03,0.021,0.01275,0.00051070635,0.51070635
p1_hj2,62,50,0,90,23.6,49,0.03,0.021,41.66666667,5.769230769,3,0.028,0.022,0.01258333333,0.0004974418167,0.4974418167
p1_hm1,66,46,1,90,23.6,53,0.025,0.021,55.55555556,7.01754386,4,0.03,0.022,0.01283333333,0.0005174040667,0.5174040667
p1_hm2,69,62,1,90,23.6,58,0.024,0.025,55.55555556,6.451612903,4,0.027,0.024,0.01266666667,0.0005040522667,0.5040522667
p2_hj1,123,70,0,83.5,60.1,119,0.023,0.018,69.44444444,4.032258065,5,0.024,0.016,0.009833333333,0.0003037752667,0.3037752667
p2_hj2,119,74,0,83.5,60.1,120,0.027,0.015,83.33333333,4.761904762,6,0.027,0.016,0.01075,0.00036305115,0.36305115
p2_hm1,98,78,1,83.5,60.1,123,0.024,0.018,83.33333333,4.651162791,6,0.026,0.017,0.01058333333,0.0003518810167,0.3518810167
p2_hm2,80,70,1,83.5,60.1,126,0.022,0.017,83.33333333,4.545454545,6,0.022,0.018,0.009916666667,0.0003089458167,0.3089458167
p3_hj1,120,63,0,89,39.1,124,0.024,0.023,55.55555556,3.125,4,0.025,0.019,0.011,0.0003801336,0.3801336
p3_hj2,132,69,0,89,39.1,130,0.023,0.014,83.33333333,4.411764706,6,0.024,0.016,0.01016666667,0.0003247192667,0.3247192667
p3_hm1,92,58,1,89,39.1,113,0.027,0.02,55.55555556,3.418803419,4,0.026,0.018,0.011,0.0003801336,0.3801336
p3_hm2,89,56,1,89,39.1,103,0.026,0.019,55.55555556,3.738317757,4,0.024,0.018,0.0105,0.0003463614,0.3463614
p4_hj1,113,70,0,79.5,1135,76,0.035,0.021,83.33333333,7.317073171,6,0.031,0.018,0.01216666667,0.0004650440667,0.4650440667
p4_hj2,107,76,0,79.5,1135,104,0.023,0.016,55.55555556,3.703703704,4,0.022,0.016,0.009416666667,0.0002785770167,0.2785770167
p4_hm1,93,65,1,79.5,1135,99,0.025,0.014,69.44444444,4.807692308,5,0.023,0.015,0.009583333333,0.0002885254167,0.2885254167
p4_hm2,101,63,1,79.5,1135,108,0.022,0.017,83.33333333,5.263157895,6,0.022,0.017,0.00975,0.00029864835,0.29864835
p5_hj1,101,72,0,82,189,100,0.025,0.017,55.55555556,3.846153846,4,0.025,0.016,0.01025,0.00033006435,0.33006435
p5_hj2,109,75,0,82,189,126,0.022,0.012,55.55555556,3.076923077,4,0.021,0.012,0.008333333333,0.0002181666667,0.2181666667
p5_hm1,57,54,1,82,189,89,0.015,0.012,55.55555556,4.301075269,4,0.019,0.011,0.0075,0.000176715,0.176715
p5_hm2,88,56,1,82,189,113,0.017,0.008,69.44444444,4.237288136,5,0.016,0.008,0.005916666667,0.0001099778167,0.1099778167
p6_hj1,107,74,0,79,191.7,112,0.025,0.01,69.44444444,4.273504274,5,0.025,0.015,0.01,0.00031416,0.31416
p6_hj2,109,76,0,79,191.7,88,0.027,0.019,97.22222222,7.368421053,7,0.028,0.02,0.01216666667,0.0004650440667,0.4650440667
p6_hm1,82,74,1,79,191.7,102,0.033,0.023,41.66666667,2.857142857,3,0.029,0.02,0.01216666667,0.0004650440667,0.4650440667
p6_hm2,72,66,1,79,191.7,88,0.032,0.022,69.44444444,5.376344086,5,0.028,0.019,0.01191666667,0.0004461290167,0.4461290167
p7_hj1,92,59,0,83,18.4,132,0.026,0.017,55.55555556,2.941176471,4,0.027,0.016,0.01075,0.00036305115,0.36305115
p7_hj2,88,59,0,83,18.4,126,0.025,0.016,69.44444444,3.816793893,5,0.027,0.015,0.0105,0.0003463614,0.3463614
p7_hm1,71,63,1,83,18.4,102,0.023,0.017,83.33333333,5.555555556,6,0.024,0.016,0.01008333333,0.0003194178167,0.3194178167
p7_hm2,82,60,1,83,18.4,99,0.022,0.02,83.33333333,5.714285714,6,0.025,0.019,0.01091666667,0.0003743958167,0.3743958167
p8_hj1,118,79,0,87,35.2,123,0.027,0.015,83.33333333,4.651162791,6,0.028,0.017,0.01141666667,0.0004094770167,0.4094770167
p8_hj2,120,82,0,87,35.2,93,0.026,0.018,125,8.823529412,9,0.027,0.015,0.0105,0.0003463614,0.3463614
p8_hm1,79,78,1,87,35.2,109,0.025,0.016,83.33333333,5.217391304,6,0.022,0.016,0.009666666667,0.0002935650667,0.2935650667
p8_hm2,74,79,1,87,35.2,107,0.017,0.013,111.1111111,6.956521739,8,0.019,0.014,0.00825,0.00021382515,0.21382515
p9_hj1,114,62,0,85,71.1,120,0.019,0.017,83.33333333,4.761904762,6,0.022,0.017,0.00975,0.00029864835,0.29864835
p9_hj2,103,62,0,85,71.1,126,0.026,0.019,55.55555556,3.076923077,4,0.026,0.02,0.01166666667,0.0004276066667,0.4276066667
p9_hm1,75,69,1,85,71.1,103,0.029,0.024,55.55555556,3.738317757,4,0.027,0.021,0.01208333333,0.0004586954167,0.4586954167
p9_hm2,68,64,1,85,71.1,94,0.036,0.034,83.33333333,6,6,0.03,0.025,0.01383333333,0.0006011800667,0.6011800667
